Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Business Profile,Is Featured?,District,Event Categories,Cost of Event,Event Date (Shown on Listing) REQUIRED,Time of the Event,Neighborhood (text),Event Details,RSVP/Event Link,Venue Name,Event Address,Age Range,Event email contact,Event Phone,Event Listing Img,Likes,CMS ID
Chillin at the Chul ,chillin-at-the-chul-3,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66735f1fa5dfdc3f7ccf6d0c,Wed Jun 19 2024 22:43:43 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:43:43 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),tohono-chul,false,tucson,community-event,Free,Fri Jun 21 2024 23:00:00 GMT+0000 (Coordinated Universal Time),6:00PM-9:00PM,North,"We're thrilled to bring back our beloved summer nights series, Chillin at the Chul! 🎶🍻🌸 Join us every Friday and Saturday evening from 6 to 9 pm for an unforgettable experience with live music, refreshing drinks, family-friendly activities, and delicious light bites! Relax in the cool shade of our beautiful gardens, where the mature trees provide a refreshing 10° drop in temperature. Saturdays are especially fun for families, thanks to our partnership with the Children’s Museum Oro Valley, offering engaging nature-based play for kids. Best of all, admission to Chillin at the Chul is completely FREE. ✨ It's the perfect way to unwind after a busy week. Discover our fantastic lineup of musical acts and check out the menu from the Garden Bistro → tohonochul.org/chillin-at-the-chul/ We can't wait to chill with you at the Chul!",https://tohonochul.org/chillin-at-the-chul/?fbclid=IwZXh0bgNhZW0CMTAAAR2M7AzcZSWpXUZS_MIuRyXTX03AVjQziumqOOZ3WfiqOW0fB3JPBLp25iM_aem_ZmFrZWR1bW15MTZieXRlcw,Tohono Chul,"7366 Paseo del Norte Tucson, AZ 85704",All Ages,,(520) 742-6455,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/66735ee5a448a91971e0d58c_443818647_1047727643355867_d4551529994975944595_n.jpg,1,65f831e6cb837c2310304feb
Chillin at the Chul ,chillin-at-the-chul-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66735eefa5dfdc3f7ccf3ea5,Wed Jun 19 2024 22:42:55 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:42:55 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),tohono-chul,false,tucson,community-event,Free,Sat Jun 22 2024 23:00:00 GMT+0000 (Coordinated Universal Time),6:00PM-9:00PM,North,"We're thrilled to bring back our beloved summer nights series, Chillin at the Chul! 🎶🍻🌸 Join us every Friday and Saturday evening from 6 to 9 pm for an unforgettable experience with live music, refreshing drinks, family-friendly activities, and delicious light bites! Relax in the cool shade of our beautiful gardens, where the mature trees provide a refreshing 10° drop in temperature. Saturdays are especially fun for families, thanks to our partnership with the Children’s Museum Oro Valley, offering engaging nature-based play for kids. Best of all, admission to Chillin at the Chul is completely FREE. ✨ It's the perfect way to unwind after a busy week. Discover our fantastic lineup of musical acts and check out the menu from the Garden Bistro → tohonochul.org/chillin-at-the-chul/ We can't wait to chill with you at the Chul!",https://tohonochul.org/chillin-at-the-chul/?fbclid=IwZXh0bgNhZW0CMTAAAR2M7AzcZSWpXUZS_MIuRyXTX03AVjQziumqOOZ3WfiqOW0fB3JPBLp25iM_aem_ZmFrZWR1bW15MTZieXRlcw,Tohono Chul,"7366 Paseo del Norte Tucson, AZ 85704",All Ages,,(520) 742-6455,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/66735ee5a448a91971e0d58c_443818647_1047727643355867_d4551529994975944595_n.jpg,1,65f831e6cb837c2310304feb
Monsoon Literacy Celebration,monsoon-literacy-celebration,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66735e33476ff08e9a277d83,Wed Jun 19 2024 22:39:47 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:39:47 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,special-event,FREE,Sat Jun 22 2024 19:00:00 GMT+0000 (Coordinated Universal Time),2:00pm-4:00pm,Downtown,"When the monsoons rain, they rain on us all! As we welcome the monsoons, we also welcome everyone to the Fox. Join us in celebrating reading and writing, and the way it can provide access, inclusivity, and understanding– of each other and the deserts we call home. Get ready for: The award-winning animated short movies, “The Smeds and the Smoos” and “Hair Love” A Sonoran Desert sing-along with live musicians from the AZ-Sonora Desert Museum Storytimes Fun and hands-on literacy activities Photos and dancing fun with mascots Free books and other goodies And more…",https://foxtucson.com/event/lit-event-24/?utm_campaign=meta_event_monsoon%20&utm_source=fb-event&utm_medium=social&fbclid=IwZXh0bgNhZW0CMTAAAR3L9A8KCObk7z6XGOTWHXULz_TA24VN9ZHUK5r3e0x1hOptbInpHW2YR64_aem_ZmFrZWR1bW15MTZieXRlcw,Fox Theater Tucson,"17 W. Congress St. Tucson, AZ 85701",4-10 years,foxinfo@foxtucson.com,520-547-3040,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/66735e2b2e83bc4615074d53_441049721_853678270136320_6007194854740139658_n.jpg,,
Cox Movies in the Park 2024: Trolls Band Together,cox-movies-in-the-park-2024-trolls-band-together,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66735cfbfea782d1681217f5,Wed Jun 19 2024 22:34:35 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 22:34:35 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 23:25:24 GMT+0000 (Coordinated Universal Time),,false,tucson,movie-screening,FREE,Fri Jun 21 2024 23:00:00 GMT+0000 (Coordinated Universal Time),6:00pm,Central,"Cox Communications is proud to present the return of Movies in the Park! Join us for pre-show entertainment, including local performers, games, and prizes. Grab some grub from the local food trucks before the show starts. When the sun goes down sit back and enjoy the movie of the week: Trolls Band Together. Activities start at 6PM -- Movie starts at 7:45PM (dusk) Visit www.coxmoviesinthepark.com for the full schedule of movies",http://www.coxmoviesinthepark.com,Demeester Outdoor Performance Center,"800 S. Concert Place Tucson, AZ 85711",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/66735cf3c97ecdce176f206d_439249595_964814985647644_5914258754179135091_n.jpg,,
SAYU UUUUUU,sayu-uuuuuu-4433e,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,66716dfbc32b2c4fd14e3157,Tue Jun 18 2024 11:22:35 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 11:22:39 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 18:10:15 GMT+0000 (Coordinated Universal Time),alan,false,tucson,community-event,$69,Sat Jun 08 2024 04:00:00 GMT+0000 (Coordinated Universal Time),18:23,East,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros.",https://www.sayu.studio/,SAYU BUILDING,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros.",1-99 years old,lolap2302@gmail.com,0452114764,,,66716dfbc32b2c4fd14e3157
Today is a big day,sayu-uuuuuu,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,662653faef0afb81f0beadc7,Mon Apr 22 2024 12:11:38 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 15:59:37 GMT+0000 (Coordinated Universal Time),Thu May 23 2024 11:18:36 GMT+0000 (Coordinated Universal Time),sayu,false,phoenix,market,$69,Sun May 12 2024 04:00:00 GMT+0000 (Coordinated Universal Time),23:21,East,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh viverra non semper suscipit posuere a pede.",https://www.sayu.studio/,SAYU BUILDING,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh viverra non semper suscipit posuere a pede.",1-99 years old,alan@sayu.studio,452114764,,8,662653faef0afb81f0beadc7
Zoowalk for Autism Research,zoowalk-for-autism-research,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832b28ff0fdd4550a05b7,Mon Mar 18 2024 12:25:22 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:53:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,$0-$20 includes admission,Sat Feb 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time),7AM Registration Walkers can stay all day!,,,https://go.dojiggy.io/zoowalkforautismresearch/Campaign/Details,Phoenix Zoo,"455 N Galvin Parkway, Phoenix, Arizona",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832b28ff0fdd4550a05aa_65cd99caef3e34c43fe8477d_426479364_775251644636384_731760480391854925_n.jpeg,,65f832b28ff0fdd4550a05b7
ZooLights (Sensory Friendly),zoolights-sensory-friendly-ea110,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832b25d0b51d554946e5f,Mon Mar 18 2024 12:25:22 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:53:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,holiday-event; special-event,$30 (under 3 free),Mon Dec 04 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:30pm-10:30pm,,,https://www.phoenixzoo.org/events/sensory-friendly-zoolights-2023/,Phoenix Zoo,"455 N Galvin Pkwy, Phoenix, AZ 85008",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663d4f9ed005fb36be549_651f5657f0282fcea2f80b1b_zl_1203_01.jpeg,,65f832b25d0b51d554946e5f
Zoo Move & Groove 5K Run,zoo-move-groove-5k-run-5d2f0,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832b2397696d8749cc115,Mon Mar 18 2024 12:25:22 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 15:50:04 GMT+0000 (Coordinated Universal Time),Thu May 23 2024 11:18:36 GMT+0000 (Coordinated Universal Time),,false,phoenix,fundraiser; special-event; community-event,Starts at $40,Sat Jan 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time),5:30pm,,,https://www.phoenixzoo.org/events/zoo-move-groove/,Phoenix Zoo,"455 N Galvin Pkwy, Phoenix, AZ 85008",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663d42b3938a0a6941a4c_651f58f216271ffdc9938a05_ZMG_072.jpeg,2,65f832b2397696d8749cc115
Yoga for Parents & Children,yoga-for-parents-children,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832b271cd47495038be45,Mon Mar 18 2024 12:25:22 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:53:27 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,$30/adult & $20/child,Sun Feb 25 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm-3:00pm,,,https://fxconnections.org/event/yoga-for-parents-children/,Family Connections & Learning Center,"8151 E. Evans Rd. Suite 10, Scottsdale, AZ 85260",7-10 years,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832b271cd47495038be3b_65d687c54bea559ebaf396c2_Yoga-3-scaled.jpeg,,65f832b271cd47495038be45
